description,isdog,url
Rat Terrier standing in three-quarter view facing forward,1,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-On-White-01.jpg
"Canine Partners mixed breed participating in the 2013 Rally National Championship, Tulsa, OK dog sport",1,https://www.akc.org/wp-content/uploads/2019/07/031513_AKC_204.jpg
"We earned a few new titles yesterday in the rain! Blue passed his AKC CGC test (Canine Good Citizen) and then we went on to pass the Advanced CGC Community Canine test! And Mera girl passed her Advanced CGC Community Canine test as well! So proud of my pups!!! 🤍
.
.
.
.
.
#akccgc #akccgca #caninegoodcitizen #akccaninegoodcitizen #akccommunitycanine #akc #americankennelclub #dogoargentino #puredogo #mera #blue #bluesuedeshoes #dogoargentinopuppy #dogoargentinolove #mastiff #protection #athletic #fitdog #dogtraining #dogos #dogopower #piratedogo #beauty #dogsofinstagram #dogoargentinos #handsome #prettygirl",1,https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNjc4NDc5MDc4LjkxNDY4NTI5MjE2OC5qcGVn.jpg?w=640&h=640&fit=cover
Chance passed the AKC Canine Good Citizen test for the second time showing he is definitely the goodest boy #dogtraining #akccgc #dogsofinstagram #goodboy🐶,1,https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNjc3ODg5NzU0LjA0NDY0OTgzMzU5MC5qcGVn.jpg?w=640&h=640&fit=cover
sadie_hopcian just got her first americankennelclub title! She’s a ##Canine Good Citizen and ready to roll…literally. We’re so proud of you girl! #akc #caninegoodcitizen #goofball,1,https://images.dashhudson.com/aHR0cHM6Ly9jZG4uZGFzaGh1ZHNvbi5jb20vbWVkaWEvZnVsbC8xNjc3ODA1OTk1LjQ4MDQ5NDE0MTMuanBlZw==.jpg?w=640&h=640&fit=cover
Working Dogs for Conservation May Be The Key to a Greener World,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/dbde2eef0ae7c1e5168a77d6bb0007e6/image?etag=1682808680447&width=70&height=47
How to Watch the Kentuckiana Cluster of Dog Shows,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/84a7c0c790423dd1afeb9fab83ae82f5/image?etag=1681160047325&width=70&height=47
AKC Canine Health Foundation Educational Grants Benefit the Dog Breeding Community,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/0d6c67cef0129333409c2939a720cc01/image?etag=1663016229904&width=70&height=47
Local Dog Club in Washington Thrives Thanks to Approachability & Creativity,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/6e11262c6ec456e216e3a083aa03a3c0/image?etag=1677530350312&width=70&height=47
How to Watch the Kentuckiana Cluster of Dog Shows,0,https://akc.blueconic.net/rest/contentStores/70084a7c-ad5f-4137-af6e-86ddf5330892/items/84a7c0c790423dd1afeb9fab83ae82f5/image?etag=1681160047325&width=70&height=47
