description, isdog
"This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.", 1
"This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.", 1
"Actors Patrick Fugit and Kate Hudson in a scene from 'Almost Famous.'", 0
"hi-res b&w photo of Mars surface with visible part part of rover", 0
"man in space suit sitting on send.", 0
"silver rocket vertical on the ground under blue sky.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Actor Sean Astin as the title character of the college football movie 'Rudy.'", 0
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"old painting depicting man in armor and naked woman.", 0
"longleged creature working over river and shooting guns.", 0
"planet surface marked with lines and names.", 0
"movie poster with insect-like creature flyings toward Earth.", 0
"tall preacher shaking hands with human.", 0
"movie poster.", 0
"blurry photo in reddish color with dark spots.", 0
"Actors Mariska Hargitay and Christopher Meloni filming on location for 'Law & Order: SVU' on the streets of Manhattan on Feb. 14, 2011 in New York City.", 0
"b&W blurry photo of planet surface.", 0
"painting of vegetation on Mars.", 0
"hi-res b&w photo of Mars surface with visible part part of rover", 0
"man in space suit sitting on send.", 0
"silver rocket vertical on the ground under blue sky.", 0
"How these 1930s maps left some neighborhoods with fewer trees", 0
"Actors Patrick Fugit and Kate Hudson in a scene from 'Almost Famous.'", 0
"Why a whale's world is a world of sound", 0
"Behind the Scenes of Our January 2021 Special Issue, ‘2020: The Year in Pictures’", 0
"The Making of a Photograph: Commitment March", 0
"Tales of the Giant", 1
"Discover how conservationists are reintroducing extinct wildlife in Iberá National Park", 0
"Actor Sean Astin as the title character of the college football movie 'Rudy.'", 0
"A baby elephant drinks milk from a bottle held in its trunk while a man helps feed another elephant", 0
"A group of travelers pose for a photo, holding a flag with the words ‘National Geographic Society’", 0
"Two women and a young girl walk through a grassy field wearing waterproof hiking jackets", 0
