text,isdog,text_clean
Judy Ann Santos,0,judy ann santos
Sluishuis,0,sluishuis
King Charles III and Queen Camilla,0,king charles iii queen camilla
Frontispiece of the Diamond Sutra,0,frontispiece diamond sutra
Pinnularia,0,pinnularia
King Charles III and Queen Camilla,0,king charles iii queen camilla
Contactus-wmcolors.svg,0,contactus wmcolors
Example.jpg,0,example
Judy Ann Santos,0,judy ann santos
Sluishuis,0,sluishuis
King Charles III and Queen Camilla,0,king charles iii queen camilla
Frontispiece of the Diamond Sutra,0,frontispiece diamond sutra
Pinnularia,0,pinnularia
Banner logo,0,banner logo
Coat types 3.jpg,1,coat type
Affenpinscher.jpg,1,affenpinscher
Afghan Hound.jpg,1,afghan hound
Afghan Shepherd.jpg,1,afghan shepherd
Aidi.jpg,1,aidi
Airedale Terrier.jpg,1,airedale terrier
Akbash Dog male 2016.jpg,1,akbash dog male
Akita Inu Fond Blanc.jpg,1,akita inu fond blanc
Alano-espanol-0003.jpg,1,alano espanol
Alapaha Blue-Blood Bulldog.jpg,1,alapaha blue blood bulldog
Idol swingley.jpg,1,idol swingley
WOWAKK-Kukai-Alaskan-Klee-Kai.jpg,1,wowakk kukai alaskan klee kai
Alaskanmalamute0b.jpg,1,alaskanmalamute b
Jacopo del Sallaio.jpg,0,jacopo del sallaio
Oropedia Anavras 1 (2) (Medium).jpg,1,oropedia anavras medium
Alpejski gończy krótkonożny g99.jpg,1,alpejski go czy kr tkono ny g
1815 Alpine Mastiff.jpg,1,alpine mastiff
Alpine spaniel.jpg,1,alpine spaniel
American akita.jpg,1,american akita
Jaxson - American Bully Pocket Male (8599222904).jpg,1,jaxson american bully pocket male
Saylor's Doc Holliday.jpg,1,saylor doc holliday
American Cocker in Tallinn 2.JPG,1,american cocker tallinn
English Coonhound.jpg,1,english coonhound
American Eskimo Dog.jpg,1,american eskimo dog
AmericanFoxhound2.jpg,1,americanfoxhound
TagnonPond9-6-03.jpg,0,tagnonpond
Lep2.jpg,0,lep
American Pit Bull Terrier - Seated.jpg,1,american pit bull terrier seated
"AMERICAN STAFFORDSHIRE TERRIER, Zican’s Bz Ez Dragon (24208348891).2.jpg",1,"american staffordshire terrier, zican bz ez dragon"
Chien d'eau americain champion 1.JPG,1,chien eau americain champion
Anatolian 589.jpg,1,anatolian
Podenco chico resized.jpg,1,podenco chico resized
Anglo-Français de petite vénerie.jpg,1,anglo fran ai de petite v nerie
Appenzeller czerń 045.jpg,1,appenzeller czer
Perro-pila-pilichy.jpg,1,perro pila pilichy
Simba02.jpg,1,simba
Gończy 059.jpg,1,go czy
"Armant dog, with some orange stuff and trees in background.jpg",1,"armant dog, orange stuff tree background"
Armenian Gampr 01.jpg,1,armenian gampr
Artois from 1915.JPG,1,artois
ACD-blue-spud.jpg,1,acd blue spud
Hilu the Australian Kelpie dog.jpg,1,hilu australian kelpie dog
Redtriaussie01.jpg,1,redtriaussie
Australian Stumpy Tail Cattle Dog.jpg,1,australian stumpy tail cattle dog
Australian Terrier 002 U.jpg,1,australian terrier u
Brandlbracke.JPG,1,brandlbracke
Pinczer austiacki 678.jpg,1,pinczer austiacki
Goumsao De Nulle Part Ailleurs 2014.jpg,1,goumsao de nulle part ailleurs
Barbado da Terceira (young female).jpg,1,barbado da terceira young female
Chien de race Barbet.jpg,1,chien de race barbet
Basenji 600.jpg,1,basenji
Pastor vasco m 14months loby 3018.jpg,1,pastor vasco month loby
"Grupp 6 BASSET ARTÉSIEN NORMAND, Skogvaktarens Queen Sally (24180074612).jpg",1,"grupp basset art sien normand, skogvaktarens queen sally"
Basset bleu de Gascogne.jpg,1,basset bleu de gascogne
Basset Fauve de Bretagne 600.jpg,1,basset fauve de bretagne
"Basset, Tallinn 4.JPG",1,"basset, tallinn"
Zoran Spod Ruskiej Granicy the Bavarian Mountain Hound.jpg,1,zoran spod ruskiej granicy bavarian mountain hound
Beagle 600.jpg,1,beagle
Beagle harrier.JPG,1,beagle harrier
Bearded Collie 600.jpg,0,bearded collie
Owczarek francuski beauceron 009pl.jpg,1,owczarek francuski beauceron pl
Bedlington Terriers.jpg,1,bedlington terrier
European Groenendael male.jpg,1,european groenendael male
Fang-sitt-040728.jpg,1,fang sitt
Malinois rybnik-kamien pl.jpg,1,malinois rybnik kamien pl
Tervueren.jpg,1,tervueren
Ortensia di Valle Scrivia.jpg,1,ortensia di valle scrivia
Sheba of White Starlight part.JPG,1,sheba white starlight part
BergerPicard.jpg,1,bergerpicard
Berner sennhund.jpg,1,berner sennhund
Bichon Frisé - studdogbichon.jpg,0,bichon fri studdogbichon
Poitou Hound from 1915.JPG,1,poitou hound
Black and Tan Coonhound.jpg,1,black tan coonhound
BlackNorwegianElkhound.jpg,1,blacknorwegianelkhound
Czarny terier rosyjski 64.jpg,1,czarny terier rosyjski
MurphysKassieBlackmouthAlabama2.jpg,1,murphyskassieblackmouthalabama
Bloodhound 800.jpg,1,bloodhound
Australian Cattle Dog 22.04.2012 5pl.jpg,1,australian cattle dog pl
BlueLacyPhoto1.jpg,1,bluelacyphoto
Epagneul bleu de picardie 868.jpg,1,epagneul bleu de picardie
BluetickCoonhound.jpg,1,bluetickcoonhound
Boerboel.jpg,1,boerboel
IRLUKA KROSANDRA (1).jpg,1,irluka krosandra
Bolończyk 5e3.jpg,1,bolo czyk e
Border Collie 600.jpg,1,border collie
Border Terrier.jpg,1,border terrier
Borzoi female.jpg,1,borzoi female
"BIR Grupp 6- BOSANSKI OSTRODLAKI GONIC-BARAK, Sandy (23866392689).jpg",1,"bir grupp bosanski ostrodlaki gonic barak, sandy"
BostonTerrierBrindleStand w.jpg,1,bostonterrierbrindlestand w
Bouvier des Ardennes.JPG,1,bouvier de ardennes
Bouvier.JPG,1,bouvier
Male fawn Boxer undocked.jpg,1,male fawn boxer undocked
Boykin spaniel.jpg,1,boykin spaniel
Giotto BI.jpg,1,giotto bi
Braque d Auvergne.jpg,1,braque auvergne
Pointer of Ariege from 1915.JPG,0,pointer ariege
Braque du Bourbonnais.jpg,1,braque du bourbonnais
Dupuy Pointer from 1915.JPG,1,dupuy pointer
Wyżeł pirenejski 308.jpg,1,wy e pirenejski
Braque saint-germain 666.jpg,1,braque saint germain
Briard fauve.JPG,1,briard fauve
Briquet Griffon Vendeen.jpg,1,briquet griffon vendeen
Epagneul Breton.jpg,1,epagneul breton
Male Broholmer.jpg,1,male broholmer
09057110 Jura Laufhund.jpg,1,jura laufhund
Brussels Griffon Rembrant.png,1,brussels griffon rembrant
Bucovina Sheepdog.jpg,1,bucovina sheepdog
Benjamin Marshall - Dustman - Bulldog and Terrier Mix.jpg,1,benjamin marshall dustman bulldog terrier mix
Bull Terrier Chico 10.jpg,1,bull terrier chico
Racibórz 2007 082.jpg,1,racib rz
Bullenbeiser.jpg,1,bullenbeiser
Brutus bullmastiff.jpg,1,brutus bullmastiff
PakistaniMastiffPunjab.jpg,1,pakistanimastiffpunjab
Burgos Pointer or Perdiguero de Burgos.JPG,1,burgos pointer perdiguero de burgos
Cairn Terrier - 002.jpg,1,cairn terrier
Buldogue Campeiro.jpg,1,buldogue campeiro
CanaanDog3.jpg,1,canaandog
Spoonsced.jpg,1,spoonsced
Italian Corso Dog 2.JPG,1,italian corso dog
Kantauriar ur-txakurra1.jpg,0,kantauriar ur txakurra
Cao de Serra de Aires600.jpg,0,cao de serra de aire
Cao de castro laboreiro.jpg,1,cao de castro laboreiro
Caofila.jpg,1,caofila
American Dingo aka Carolina Dog1.jpg,1,american dingo aka carolina dog
Carpatin.jpg,1,carpatin
Gos d'Atura Català.JPG,1,go atura catal
CaucasianOvcharka-Julius.jpg,1,caucasianovcharka julius
Miss Betty.jpg,1,miss betty
Central Asian Shepherd.jpg,1,central asian shepherd
Czeski fousek 777.jpg,1,czeski fousek
"Grupp 3, CESKYTERRIER, DK UCH NO JV-14 NO UCH NO V-15 NORD JV-14 NORD UCH SE UCH Sellandafjalls Teo (24310213205).jpg",1,"grupp , ceskyterrier, dk uch jv uch v nord jv nord uch se uch sellandafjalls teo"
CH Chesapeake.jpg,1,ch chesapeake
Français noir et blanc.JPG,1,fran ai noir et blanc
Chien2.JPG,1,chien
Gris De Saint-Louis from 1915.JPG,0,gris de saint louis
Chihuahua1 bvdb.jpg,1,chihuahua bvdb
Fox terrier chileno.JPG,1,fox terrier chileno
Chinese Chongqing Dog Hündin.jpg,1,chinese chongqing dog h ndin
IndyStands.jpg,1,indystands
Chinese Imperial Dog.jpg,0,chinese imperial dog
Mountan Laurel Ajax the Chinook dog.jpg,1,mountan laurel ajax chinook dog
A male chippiparai.jpg,0,male chippiparai
ChowChow2Szczecin.jpg,1,chowchow szczecin
8s45heryprobaobraz 018.jpg,1,heryprobaobraz
Cirneco dell Etna 611.jpg,1,cirneco dell etna
Clumber spaniel 767.jpg,1,clumber spaniel
Rough Collie 600.jpg,1,rough collie
SmoothCollieTri2 wb.jpg,1,smoothcollietri wb
Kombai dog.jpg,1,kombai dog
Patan.jpg,1,patan
Coton de Tular 1.jpg,1,coton de tular
Kritikosichnilatis 1.jpg,1,kritikosichnilatis
Gera062005sed.jpg,1,gera sed
Curly Coated Retriever.jpg,1,curly coated retriever
Cursinu 1.jpg,1,cursinu
TWH-jolly.JPG,1,twh jolly
Short-haired-Dachshund.jpg,1,short haired dachshund
Dalbohund.jpg,1,dalbohund
Dalmatian liver stacked.jpg,1,dalmatian liver stacked
Dandie Dinmont Terrier 600.jpg,1,dandie dinmont terrier
Danish Swedish Farmdog.jpg,1,danish swedish farmdog
DeutscheBracke.jpg,1,deutschebracke
Dingo walking.jpg,1,dingo walking
European Dobermann.jpg,1,european dobermann
Dogo.jpg,1,dogo
DogoCubano2.jpg,1,dogocubano
Dogo1.jpg,1,dogo
Doguepelolongo.jpg,1,doguepelolongo
French Mastiff aka Dogue de Bordeaux 2.JPG,1,french mastiff aka dogue de bordeaux
Drentse Patrijshond.jpg,1,drentse patrijshond
Drever NUCh Tanjo.jpg,1,drever nuch tanjo
Dunker.jpg,1,dunker
Long-haired Dutch Shepherd 2.JPG,1,long haired dutch shepherd
Hollandse Smoushond Amsterdam cropped.jpg,0,hollandse smoushond amsterdam cropped
East Siberian Laika.jpg,1,east siberian laika
Owczarek wschodnioeuropejski MB 01.jpg,1,owczarek wschodnioeuropejski mb
Elo.jpg,1,elo
English Cocker Spaniel in Tallinn.JPG,1,english cocker spaniel tallinn
English Foxhound portrait.jpg,1,english foxhound portrait
EnglishMastiffChurchill.JPG,1,englishmastiffchurchill
English pointer.jpg,1,english pointer
EnglishSetter9 fx wb.jpg,1,englishsetter fx wb
TricolorEnglishShepherdDog.jpg,1,tricolorenglishshepherddog
English-Springer-Spaniel show.jpg,1,english springer spaniel show
English Toy Terrier 600 01.jpg,1,english toy terrier
English Water Spaniel.jpg,1,english water spaniel
Old English White Terrier.jpg,1,old english white terrier
Elio v Schaerlig im Juni 2007 klein.jpg,1,elio v schaerlig im juni klein
Gończy estoński MB 01.jpg,1,go czy esto ski mb
