url,title,paragraph,tokens
https://en.wikipedia.org/wiki/2023_Heart_of_America_200,2023 Heart of America 200 - Wikipedia,"The 2023 Heart of America 200 was the 8th stock car race of the 2023 NASCAR Craftsman Truck Series, and the 23rd iteration of the event. The race was held on Saturday, May 6, 2023, in Kansas City, Kansas at Kansas Speedway, a 1.5 miles (2.4 km) permanent tri-oval shaped racetrack. The race took the scheduled 134 laps to complete. Grant Enfinger, driving for GMS Racing, would make a three-wide pass for the lead with 30 laps to go, and eventually held on to score his eighth career NASCAR Craftsman Truck Series win, and his first of the season. Enfinger also dominated a portion of the race, leading a race-high 65 laps.[1] To fill out the podium, Corey Heim, driving for Tricon Garage, and Zane Smith, driving for Front Row Motorsports, would finish 2nd and 3rd, respectively.","['the', 'heart', 'of', 'america', 'was', 'the', 'th', 'stock', 'car', 'race', 'of', 'the', 'nascar', 'craftsman', 'truck', 'series', 'and', 'the', 'rd', 'iteration', 'of', 'the', 'event', 'the', 'race', 'was', 'held', 'on', 'saturday', 'may', 'in', 'kansas', 'city', 'kansas', 'at', 'kansas', 'speedway', 'a', 'miles', 'km', 'permanent', 'trioval', 'shaped', 'racetrack', 'the', 'race', 'took', 'the', 'scheduled', 'laps', 'to', 'complete', 'grant', 'enfinger', 'driving', 'for', 'gms', 'racing', 'would', 'make', 'a', 'threewide', 'pass', 'for', 'the', 'lead', 'with', 'laps', 'to', 'go', 'and', 'eventually', 'held', 'on', 'to', 'score', 'his', 'eighth', 'career', 'nascar', 'craftsman', 'truck', 'series', 'win', 'and', 'his', 'first', 'of', 'the', 'season', 'enfinger', 'also', 'dominated', 'a', 'portion', 'of', 'the', 'race', 'leading', 'a', 'racehigh', 'laps', 'to', 'fill', 'out', 'the', 'podium', 'corey', 'heim', 'driving', 'for', 'tricon', 'garage', 'and', 'zane', 'smith', 'driving', 'for', 'front', 'row', 'motorsports', 'would', 'finish', 'nd', 'and', 'rd', 'respectively']"
https://en.wikipedia.org/wiki/No_Pants_Subway_Ride,No Pants Subway Ride - Wikipedia,"The No Pants Subway Ride aka Ride The Train Naked Day (or No Trousers on the Tube Ride in the UK[1]) is an annual event where people ride rapid transit or subway while they are not wearing pants.[2] Beginning in New York in 2002, the event spread to as many as sixty cities as of 2013[update].","['the', 'no', 'pants', 'subway', 'ride', 'aka', 'ride', 'the', 'train', 'naked', 'day', 'or', 'no', 'trousers', 'on', 'the', 'tube', 'ride', 'in', 'the', 'uk', 'is', 'an', 'annual', 'event', 'where', 'people', 'ride', 'rapid', 'transit', 'or', 'subway', 'while', 'they', 'are', 'not', 'wearing', 'pants', 'beginning', 'in', 'new', 'york', 'in', 'the', 'event', 'spread', 'to', 'as', 'many', 'as', 'sixty', 'cities', 'as', 'of', 'update']"
https://en.wikipedia.org/wiki/Oglio,Oglio - Wikipedia,"The Oglio (Italian: [ˈɔʎʎo]; Latin: Ollius or Olius; Lombard: Òi, Cremonese: Ùi) is a left-side tributary of the river Po in Lombardy, Italy. It is 280 kilometres (170 mi) long.In the hierarchy of the Po's tributaries, with its 280 kilometres (170 mi) of length, it occupies the 2nd place per length (after the river Adda), while it is the 4th per basin surface (after Tanaro, Adda and Ticino), and the 3rd per average discharge at the mouth (after Ticino and Adda).","['the', 'oglio', 'italian', 'oyyo', 'latin', 'ollius', 'or', 'olius', 'lombard', 'oi', 'cremonese', 'ui', 'is', 'a', 'leftside', 'tributary', 'of', 'the', 'river', 'po', 'in', 'lombardy', 'italy', 'it', 'is', 'kilometres', 'mi', 'longin', 'the', 'hierarchy', 'of', 'the', 'pos', 'tributaries', 'with', 'its', 'kilometres', 'mi', 'of', 'length', 'it', 'occupies', 'the', 'nd', 'place', 'per', 'length', 'after', 'the', 'river', 'adda', 'while', 'it', 'is', 'the', 'th', 'per', 'basin', 'surface', 'after', 'tanaro', 'adda', 'and', 'ticino', 'and', 'the', 'rd', 'per', 'average', 'discharge', 'at', 'the', 'mouth', 'after', 'ticino', 'and', 'adda']"
https://en.wikipedia.org/wiki/Fury_(1936_film),Fury (1936 film) - Wikipedia,"Fury  is a 1936 American drama film directed by Fritz Lang that tells the story of an innocent man (Spencer Tracy) who narrowly escapes being burned to death by a lynch mob and the revenge he then seeks. The film was released by Metro-Goldwyn-Mayer and stars Sylvia Sidney and Tracy, with a supporting cast featuring Walter Abel, Bruce Cabot, Edward Ellis and Walter Brennan. Loosely based on the events surrounding the Brooke Hart murder in San Jose, California,[4] the film was adapted by Bartlett Cormack and Lang from the story Mob Rule by Norman Krasna. Fury was Lang's first American film.","['fury', 'is', 'a', 'american', 'drama', 'film', 'directed', 'by', 'fritz', 'lang', 'that', 'tells', 'the', 'story', 'of', 'an', 'innocent', 'man', 'spencer', 'tracy', 'who', 'narrowly', 'escapes', 'being', 'burned', 'to', 'death', 'by', 'a', 'lynch', 'mob', 'and', 'the', 'revenge', 'he', 'then', 'seeks', 'the', 'film', 'was', 'released', 'by', 'metrogoldwynmayer', 'and', 'stars', 'sylvia', 'sidney', 'and', 'tracy', 'with', 'a', 'supporting', 'cast', 'featuring', 'walter', 'abel', 'bruce', 'cabot', 'edward', 'ellis', 'and', 'walter', 'brennan', 'loosely', 'based', 'on', 'the', 'events', 'surrounding', 'the', 'brooke', 'hart', 'murder', 'in', 'san', 'jose', 'california', 'the', 'film', 'was', 'adapted', 'by', 'bartlett', 'cormack', 'and', 'lang', 'from', 'the', 'story', 'mob', 'rule', 'by', 'norman', 'krasna', 'fury', 'was', 'langs', 'first', 'american', 'film']"
https://en.wikipedia.org/wiki/United_States_Youth_Council,United States Youth Council - Wikipedia,"The United States Youth Council (USYC) was a nonprofit coalition of organizations which served youth and young adults in the United States. It was founded in 1945 by the National Social Welfare Assembly as that organization's youth division, but became independent in the early 1960s. In 1967, The New York Times revealed that the USYC had received more than 90 percent of its funds from the Central Intelligence Agency, leading many of the organization's largest members to quit. USYC continued to receive funding from the United States government before disbanding in 1986.","['the', 'united', 'states', 'youth', 'council', 'usyc', 'was', 'a', 'nonprofit', 'coalition', 'of', 'organizations', 'which', 'served', 'youth', 'and', 'young', 'adults', 'in', 'the', 'united', 'states', 'it', 'was', 'founded', 'in', 'by', 'the', 'national', 'social', 'welfare', 'assembly', 'as', 'that', 'organizations', 'youth', 'division', 'but', 'became', 'independent', 'in', 'the', 'early', 's', 'in', 'the', 'new', 'york', 'times', 'revealed', 'that', 'the', 'usyc', 'had', 'received', 'more', 'than', 'percent', 'of', 'its', 'funds', 'from', 'the', 'central', 'intelligence', 'agency', 'leading', 'many', 'of', 'the', 'organizations', 'largest', 'members', 'to', 'quit', 'usyc', 'continued', 'to', 'receive', 'funding', 'from', 'the', 'united', 'states', 'government', 'before', 'disbanding', 'in']"
https://en.wikipedia.org/wiki/Rebecca_Meder,Rebecca Meder - Wikipedia,"Rebecca Meder (born 31 July 2002) is a South African swimmer. She is the African record holder in the 100 metre individual medley and the South African record holder in the long course and short course 200 metre individual medley. At the 2022 World Short Course Championships, she placed sixth in the final of the 100 metre individual medley. In the 200 metre individual medley at the 2022 Commonwealth Games, she placed fourth in the final. At the 2021 African Championships, she won 11 gold medals, six in individual events and five in relay events, swimming on the finals relay for each of the five relay events.","['rebecca', 'meder', 'born', 'july', 'is', 'a', 'south', 'african', 'swimmer', 'she', 'is', 'the', 'african', 'record', 'holder', 'in', 'the', 'metre', 'individual', 'medley', 'and', 'the', 'south', 'african', 'record', 'holder', 'in', 'the', 'long', 'course', 'and', 'short', 'course', 'metre', 'individual', 'medley', 'at', 'the', 'world', 'short', 'course', 'championships', 'she', 'placed', 'sixth', 'in', 'the', 'final', 'of', 'the', 'metre', 'individual', 'medley', 'in', 'the', 'metre', 'individual', 'medley', 'at', 'the', 'commonwealth', 'games', 'she', 'placed', 'fourth', 'in', 'the', 'final', 'at', 'the', 'african', 'championships', 'she', 'won', 'gold', 'medals', 'six', 'in', 'individual', 'events', 'and', 'five', 'in', 'relay', 'events', 'swimming', 'on', 'the', 'finals', 'relay', 'for', 'each', 'of', 'the', 'five', 'relay', 'events']"
https://en.wikipedia.org/wiki/Ivan_Nielsen,Ivan Nielsen - Wikipedia,"Ivan Nielsen (born 9 October 1956) is a Danish former professional football player, who most prominently played professionally for Dutch clubs Feyenoord Rotterdam and PSV Eindhoven, winning the European Cup with PSV. A central defender, he was capped 51 times for the Danish national team, and represented his country at 1986 World Cup and two European Championship tournaments.","['ivan', 'nielsen', 'born', 'october', 'is', 'a', 'danish', 'former', 'professional', 'football', 'player', 'who', 'most', 'prominently', 'played', 'professionally', 'for', 'dutch', 'clubs', 'feyenoord', 'rotterdam', 'and', 'psv', 'eindhoven', 'winning', 'the', 'european', 'cup', 'with', 'psv', 'a', 'central', 'defender', 'he', 'was', 'capped', 'times', 'for', 'the', 'danish', 'national', 'team', 'and', 'represented', 'his', 'country', 'at', 'world', 'cup', 'and', 'two', 'european', 'championship', 'tournaments']"
https://en.wikipedia.org/wiki/Massena_International_Airport,Massena International Airport - Wikipedia,"Massena International Airport (IATA: MSS, ICAO: KMSS, FAA LID: MSS) (Richards Field) is in St. Lawrence County, New York.[1] It is two nautical miles (3.7 km) east of the village of Massena.[1] The airport sees one airline, subsidized by the Essential Air Service program.","['massena', 'international', 'airport', 'iata', 'mss', 'icao', 'kmss', 'faa', 'lid', 'mss', 'richards', 'field', 'is', 'in', 'st', 'lawrence', 'county', 'new', 'york', 'it', 'is', 'two', 'nautical', 'miles', 'km', 'east', 'of', 'the', 'village', 'of', 'massena', 'the', 'airport', 'sees', 'one', 'airline', 'subsidized', 'by', 'the', 'essential', 'air', 'service', 'program']"
https://en.wikipedia.org/wiki/John_Payne_(poet),John Payne (poet) - Wikipedia,John Payne (23 August 1842 – 11 February 1916[1]) was an English poet and translator. Initially he pursued a legal career and had associated with Dante Gabriel Rossetti. Later he became involved with limited edition publishing and the Villon Society.,"['john', 'payne', 'august', 'february', 'was', 'an', 'english', 'poet', 'and', 'translator', 'initially', 'he', 'pursued', 'a', 'legal', 'career', 'and', 'had', 'associated', 'with', 'dante', 'gabriel', 'rossetti', 'later', 'he', 'became', 'involved', 'with', 'limited', 'edition', 'publishing', 'and', 'the', 'villon', 'society']"
https://en.wikipedia.org/wiki/CleVR,CleVR - Wikipedia,"CleVR is a free panoramic photo sharing site and photo stitching software. It allows panoramas to be embedded into other web pages using a Flash viewer. Panoramas can be displayed with hotspots — areas in the scene that can be clicked to display other content or to navigate to another scene. This functionality is similar to that provided by Apple's QuickTime VR, but it allows images, text and Flash Video (FLV) video to be displayed within the panorama window.","['clevr', 'is', 'a', 'free', 'panoramic', 'photo', 'sharing', 'site', 'and', 'photo', 'stitching', 'software', 'it', 'allows', 'panoramas', 'to', 'be', 'embedded', 'into', 'other', 'web', 'pages', 'using', 'a', 'flash', 'viewer', 'panoramas', 'can', 'be', 'displayed', 'with', 'hotspots', 'areas', 'in', 'the', 'scene', 'that', 'can', 'be', 'clicked', 'to', 'display', 'other', 'content', 'or', 'to', 'navigate', 'to', 'another', 'scene', 'this', 'functionality', 'is', 'similar', 'to', 'that', 'provided', 'by', 'apples', 'quicktime', 'vr', 'but', 'it', 'allows', 'images', 'text', 'and', 'flash', 'video', 'flv', 'video', 'to', 'be', 'displayed', 'within', 'the', 'panorama', 'window']"
