text,isdog
"The Affenpinscher, also known as the Monkey Terrier, is a small-sized terrier-like toy Pinscher breed of dog that originated in Germany. With a distinctive appearance and charming personality, the Affenpinscher has gained popularity among dog lovers worldwide.",1
"The Afghan Hound is a Hound distinguished by its thick, fine, silky coat, and a tail with a ring curl at the end. The breed is selectively bred for its unique features in the cold mountains of Afghanistan. Its local name is Tāžī Spay (Pashto: تاژي سپی) or Sag-e Tāzī (Dari: سگ تازی). Other names for this breed are Tāzī, Balkh Hound, Baluchi Hound, Barakzai Hound, Shalgar Hound, Kabul Hound, Galanday Hound or sometimes incorrectly African Hound. As with other sighthounds, they have the ability to run fast and turn well.",1
The Africanis is a dog landrace found across southern Africa.[1],1
"The Aidi (Berber languages: ⴰⵢⴷⵉ, romanized: aydi, lit. 'dog') is a Berber dog breed native to the Atlas Mountains of North Africa and is used as a livestock guardian, protecting herds of sheep and goats.[1] It is most commonly found in Morocco, which holds the standard under the Fédération Cynologique Internationale.[2][3][4] The Aidi is also found in Algeria, Tunisia and Libya.[5][6] It possesses hunting capabilities and good scenting ability. In Morocco, it is often paired in hunting with the Sloughi, which chases down prey that the Aidi has located by scent.[7] ",1
"The Airedale Terrier (often shortened to ""Airedale""), also called Bingley Terrier and Waterside Terrier, is a dog breed of the terrier type that originated in the valley (dale) of the River Aire, in the West Riding of Yorkshire, England.[1]  It is traditionally called the ""King of Terriers"" because it is the largest of the terrier breeds.  The Airedale was bred from the Old English Black and Tan Terrier and the Otterhound and probably some other Terrier breeds, and has contributed to other dog breeds, such as the Yorkshire Terrier. Originally bred to serve as a versatile hunting and all around working farm dog, this breed has also been used as a war dog, guide dog, and police dog in Britain. In the United States, the breed has been used to hunt big game, upland birds, and water fowl, and serve in many other working capacities.",1
"The Akbash (Turkish: Akbaş), is a traditional Turkish breed or type of flock guardian dog from western Anatolia.[3] The word akbaş means 'white head', and thus distinguishes this dog from the Karabaş, or 'black head'.[4]: 33 [5] It was recognised by the Turkish Ministry of Agriculture and Rural Affairs in 2006; it is under the tutelage of the Köpek Irkları ve Kinoloji Federasyonu, the Turkish dog breed society, but is not recognised by the Fédération Cynologique Internationale.[3][6]",1
"The Akita (秋田, Akita, Japanese pronunciation: [akʲita]) is a Japanese  dog breed of large size. Originating from the mountains of northern Japan, the Akita has a short double coat similar to that of many other northern spitz breeds. Historically, they were used by samurai for guarding, fighting and the hunting of  bears. ",1
"The Aksaray Malaklısı or Malaklı Karabaş is a Turkish breed of large livestock guardian dog, from the Aksaray Province in Central Anatolia.[1][2][3]",1
"The Alano Español or Spanish Bulldog is a Spanish breed of medium to large sized dog of alaunt-bulldog type. It has at various times been used as a war dog, for bullfighting, for the management of cattle, for hunting and as a guard dog.[4]: 498 [5]",1
"The Alapaha Blue Blood Bulldog is a breed of bulldog from the United States, and it is predominantly used as a guard dog. It is a very powerful, muscular breed with large head and brachycephalic muzzle. The hair coat is short, typically colored white with black, blue, buff or brown patches, and its tail is kept un-docked.[1][2] Sexual dimorphism is common in the breed, with larger dogs typically twice the weight of smaller bitches.[1]",1
"The Alaskan husky is a breed of medium-sized working sled dog, developed specifically for its performance as such.[1][2][3] ",1
12–16 years[1],1
"The Alaskan Malamute (/ˈmæləˌmjuːt/) is a large breed of dog that was originally bred for its strength and endurance to haul heavy freight as a sled dog and hound.[2] It is similar to other arctic breeds such as the husky, the spitz, the Greenland Dog, Canadian Eskimo Dog, the Siberian Husky, and the Samoyed.",1
"The Alopekis (Greek: Αλωπεκίς) is a small, foxlike dog from Greece with pricked ears, a sickle-shaped tail, and a smooth short coat.[1]",1
"The Alpine Dachsbracke (German: Alpenländische Dachsbracke) is a small breed of dog of the scent hound type originating in Austria. The Alpine Dachsbracke was bred to track wounded deer as well as boar, hare, and fox. It is highly efficient at following a trail even after it has gone cold. The Alpine Dachsbracke is very sturdy, and Austria is said to be the country of origin.",1
"The American Bulldog is a large, muscular breed of mastiff-type that was used as stock dogs, catch dogs, and guardians on farms and ranches.[2] The breed is descended from the Old English Bulldog, which is thought to have arrived in America as early as the 17th century, brought over by working-class immigrants from England.[3][4] During WWI and WWII, the breed was on the verge of extinction, with the only surviving dogs being kept primarily on farms in the southeast. John D. Johnson and Alan Scott are widely regarded as the forefathers of rescuing the breed from extinction.[2] On January 1, 1999, the United Kennel Club first recognized the American Bulldog.[4] In November 2019, the American Bulldog was added to the American Kennel Club (AKC) Foundation Stock Service (FSS).[5]",1
"The American Bully is a modern breed of dog that was developed as a companion dog, and originally standardized and recognized as a breed in 2004 by the American Bully Kennel Club (ABKC). Their published breed standard describes the dog as giving the ""impression of great strength for its size"". In 2008, the American Bully was recognized by the European Bully Kennel Club (EBKC), and on July 15, 2013, by the United Kennel Club (UKC).[1]  Neither The Kennel Club nor American Kennel Club (AKC) have recognized or accepted the American Bully into their registry as a purebred dog. The founding registry (ABKC) divided the American Bully into four categories, including the Pocket, Standard, Classic, and XL, whereas other registries, including the UKC, have approved one consistent size standard.",1
"The American Cocker Spaniel is a breed of sporting dog. It is a spaniel type dog that is closely related to the English Cocker Spaniel; the two breeds diverged during the 20th century due to differing breed standards in the US and the UK. In the United States, the breed is usually called a Cocker Spaniel, while elsewhere in the world, it is called an American Cocker Spaniel to distinguish it from its older English cousin. The word cocker is commonly held to stem from their use to hunt woodcock in England, while spaniel is thought to be derived from the breed's origins in Spain.",1
"The English Coonhound, also referred to as the American English Coonhound (by the American Kennel Club only) or the Redtick Coonhound,[1] is a breed of coonhound that originated in and is typically bred in the Southern United States. It is descended from hunting hounds, especially foxhounds, brought to America by settlers during the 17th and 18th centuries.[2] The breed's first recognition came from the United Kennel Club in 1905 as the English Fox and Coonhound.[3] Further recognition has been granted in recent years by the American Kennel Club, first in the Foundation Stock Service and in 2011 as a fully recognized member of the hound group.",1
"The American Eskimo Dog is a breed of companion dog, originating in Germany. The American Eskimo Dog is a member of the Spitz family. It is considered an ancient dog breed due to its recent admixture with wolves. The breed's progenitors were German Spitz, but due to anti-German sentiment during the First World War, it was renamed ""American Eskimo Dog."" Although modern American Eskimo Dogs have been exported as German Spitz Gross (or Mittel, depending on the dog's height), the breeds have diverged and the standards are significantly different. In addition to serving as a watchdog and companion, the American Eskimo Dog also achieved a high degree of popularity in the United States in the 1930s and 1940s as a circus performer.",1
"The American Foxhound is a breed of dog, closely related to the English Foxhound. They are scent hounds, bred to hunt foxes by scent. United States Founding Father George Washington contributed to the breed's development.",1
The American Hairless Terrier is a breed of companion dog from the United States that was developed from naturally hairless Rat Terriers.,1
The American Leopard Hound is an American breed of hunting dog. It is recognized by the  United Kennel Club (UKC) as a scenthound and is in the American Kennel Club's Foundation Stock Service.[1][2],1
"The American Pit Bull Terrier (APBT) is a dog breed recognized by the United Kennel Club (UKC)[1] and the American Dog Breeders Association (ADBA),[2] but not the American Kennel Club (AKC).[3] It is a medium-sized, short-haired dog, of a solid build, whose early ancestors came from the British Isles. When compared with the English Staffordshire Bull Terrier, the American Pit Bull Terrier is larger by margins of 6–8 inches (15–20 cm) in height and 25–35 pounds (11–16 kg) in weight. The American Pit Bull Terrier varies in size: males are normally about 18–21 inches (45–53 cm) in height and around 35–60 pounds (15–27 kg) in weight, while females are normally around 17–20 inches (43–50 cm) in height and 30–50 pounds (13–22 kg) in weight.[1]",1
"The American Staffordshire Terrier, also known as the AmStaff is a medium-sized, short-coated American dog breed[2][3][4][5] recognized by the American Kennel Club, but not the United Kennel Club, which instead allows American Staffordshire Terriers to be registered under the American Pit Bull Terrier breed.[6] ",1
"The American Water Spaniel (often abbreviated to AWS) is a breed of spaniel which originated in the United States. It was developed in the state of Wisconsin during the 19th century from a number of other breeds, including the Irish and English Water Spaniels. The breed was saved by Dr. Fred J. Pfeifer, who set up the breed club and standard, and whose work led to recognition for the breed by the United Kennel Club, and later, the American Kennel Club. While they are the state dog of Wisconsin, they remain a rare breed.",1
"The Anglo-Français de Petite Vénerie is a medium-sized breed of dog used in hunting as a scenthound, usually in packs. It is one of the Anglo-French hound breeds which were created by crossing French scenthounds with English foxhounds. The name Petite Vénerie does not mean that dogs of the breed are petite or small, but rather that it is used to hunt small game.",1
"The Appenzeller Sennenhund is a Swiss breed of medium-sized working dog. It originates in the Appenzell region of north-eastern Switzerland, and is one of four regional breeds of Sennenhund or Swiss mountain dog, all of which are characterised by a distinctive tricolour coat.",1
"The Ariège Pointer is a French breed of hunting dog of pointer type. It originates in the Ariège département of Occitanie, in south-western France. The breed name may be rendered in English as Ariège Pointing Dog or Braque de l'Ariège.",1
"The Ariégeois is a French breed of medium-sized scent hound from the département of Ariège in the Midi-Pyrenées region of southern France. It may have derived from cross-breeding of pack-hunting hounds such as the Grand Bleu de Gascogne or Grand Gascon-Saintongeois with local Briquet dogs.[2] It hunts either alone or in a pack, and is used both as a courser and for driving game to waiting guns. While most successful with hares, it is also used for hunting deer and boar.[3] It does not adapt well to urban life,[4] and is not usually kept as a companion dog.[5]: 46 ",1
"The Armant (also known as the Egyptian Sheepdog or Ermenti) is a breed of herding dog from Egypt. It is believed the Armant descends from Briards brought to Egypt by Napoleon's armies,[note 1] these dogs were likely crossed with local dogs to produce the first examples of the breed.[2][3][4] The Armant is named after the town of Armant in Egypt, the supposed place of origin of the breed, the breed is not very well known but is used extensively within Egypt as both a herding dog and a guard dog.[5]",1
"The Armenian Gampr (Armenian: Գամփռ, romanized: Gamp’ṙ) is an Armenian breed of flock guardian dog native to the Armenian Highlands. It falls within the Ovcharka group of livestock guardian dogs, which can be found throughout the Transcaucasus area.[1]: 67  It was recognised in 2011 by the International Kennel Union in Moscow,[1]: 67 [2][3] under the guidance of the Armenian Kennel Club, which had developed the breed standard in the 1990s.[1]: 67 ",1
"The Artois Hound is a rare breed of dog, and a descendant of the Bloodhound. A scent hound 22–23 inches high at the withers, weighing anything between 55 and 65 pounds, it is a well constructed dog with a slow graceful gait. It has a large, strong head, a medium-length back and a pointed tail that tends to be long and sickle-shaped. Their ears are set at eye level; they have large prominent eyes and quite thick lips.[1]",1
"The Assyrian Mastiff,[1][2] was a landrace in Assyria. This dog was often used as a livestock guardian against predators and they were bred by the Assyrians and Babylonians for lion and wild horse-hunting.[3]",1
"The Australian Cattle Dog (ACD), or simply Cattle Dog, is a breed of herding dog originally developed in Australia for droving cattle over long distances across rough terrain. This breed is a medium-sized, short-coated dog that occurs in two main colour forms. It has either red or black hair distributed fairly evenly through a white coat, which gives the appearance of a ""red"" or ""blue"" dog.",1
"The Australian Kelpie, or simply Kelpie, is an Australian sheepdog capable of mustering and droving with little or no guidance. It is a medium-sized dog and comes in a variety of colours. The Kelpie has been exported throughout the world and is used to muster livestock, primarily sheep, cattle and goats.",1
